snp	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
S22911												I2a2a1b1a~
S2292												I1a2b1b1~
S2293												I1a2b3~
S22932												J1a2a1a2d2b2b2c2b~
S22946											C1b2a	C1b2a
S2297												I1c1a1a1a~
S22972												J1a2a1a2d2b2b2c2b~
S2298												I1c1a1a1a~
S23	I1b2	I1b2										
S230							R1b1a2a1a1b1a1	R1b1a2a1a2a1a	R1b1a2a1a2a1a1	R1b1a2a1a2a1a1	R1b1a1a2a1a2a1a1	R1b1a1a2a1a2a1a1
S23022												I2a1a2a~
S2303												I1c~
S23032											T1a2b	T1a2b
S23035.3												I1a1b1c2a~
S2304											I1c	I1c
S23062												I1a1b1a1c2a~
S23078										I2c1a1	I2c1a1	
S2308												I1c1a1a~
S2312												I1c1a1a~
S2314												I1c1a1a~, I1c1a1a1a~
S23145.2												I1a1a3a~
S23147												I2a2a1b1b1~
S2315												I1c1~
S2316												I1c1a1a~, I1c1a1a1a~
S23189											R1b1a1a2a1a1c2b3	R1b1a1a2a1a1c2b3
S232								R1b1a2a1a2e	R1b1a2a1a2e	R1b1a2a1a2e	R1b1a1a2a1a2e	R1b1a1a2a1a2e
S2320												I1c1a1~
S23225											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S2323												I1c1a1a~, I1c1a1a1a~
S23230											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S23231											R1b1a1a2a1a1c2b2a1b5	R1b1a1a2a1a1c2b2a1b5
S23232											N1c1a1a1a1a	N1a1a1a1a1a1~
S23241												I2a1b2
S2325												I1c1a1a~
S2326												I1c1a1a~
S23266										G2a2b1	G2a2b1	G2a2b1
S23267											R1b1a1a2a1a1g2	R1b1a1a2a1a1g2
S233								R1b1a2a1a2e2	R1b1a2a1a2e2	R1b1a2a1a2e2	R1b1a1a2a1a2e2	R1b1a1a2a1a2e2
S23314												I2a1b2
S2332												I1a2a1a1d4
S23326												J1
S2333												I1a2a1a1d4
S2337												I1a2a1a1d4
S2338												I1a2a1a1d4
S23380												I2a1a2~
S2339												I1a2a1a1d4
S234											R1b1a1a2a1a2a1b1a1~	R1b1a1a2a1a2a1b1a1~
S23409											R1b1a1a2a1a1c2b2a1b1a3	R1b1a1a2a1a1c2b2a1b1a3
S23413												I2a2a1b2b~
S23418											N [K2a1], N	N [K2a1], N
S23438									G2a2b2a1b1a2a1a	G2a2b2a1a1b1a2a1a		
S23458										R1b1a2a1a2b1c1c	R1b1a1a2a1a2b1c1c	R1b1a1a2a1a2b1c1c
S23465										R1b1a2a1a1h	R1b1a1a2a1a1h	R1b1a1a2a1a1h
S23467												I2a2a2a~
S23473												I2a2a2~
S23479												I2c1
S2348											E1b1a1a1a2a1a3b1a8a	E1b1a1a1a2a1a3b1a8a
S23519												I1a2b1c1~
S23562											R1b1a1a2a1a1g1~	R1b1a1a2a1a1g1~
S2357												I2a2a1b2a~
S23573^										G2a2a1a2a1	G2a2a1a2a1	G2a2a1a2a1
S23604											N1c1a1a1	
S2361										I2a2a1b2a2a1	I2a2a1b2a2a1	
S23612									I2a2a1b1a1a1	I2a2a1b1a1a1	I2a2a1b1a1a1	I2a2a1b1a1a1
S2363												I2a2a~
S23632												I2c1b
S2364									I2a2a1b2a2a	I2a2a1b2a2a	I2a2a1b2a2a	
S2365												I2a2a~
S2366												I2a2a1b2a1b1a1a1a1c3~
S2367												I2a2a~
S23679												I1a1b1a1c2~
S2368												I2a2a1b2a1b1a1a1a1~
S2369												I2a2a1b2a~
S2370												I2a2a1b2a1b1a1a1a1c3~
S23720									J	J	J	J
S2374												I2a2a~
S23777											N1c	N1~, N1a
S2378												I2a2a~
S23785												I2a2a1b2b~
S238							I2a		I2a	I2a	I2a	I2a
S2380												I2a2a~
S2381												I2a2a~
S23815										G2a2b1	G2a2b1	G2a2b1
S23817												I2c1
S23818												I2a2a1a2a~
S2382												I2a2a1b2~
S2383												I2a2a~
S2384												I2a2a1b2a~
S2385												I2a2a~
S23857												I2a1b2
S23897												I2a2a1b1a1a1~
S239								I1a1b2				
S239.1												I1a1b1a3
S239.2									Q1a2b2a			2~
S239.3												I, b~, 1, 1b, d, 3, 2a, 2b, 2a1, 2a1a, I2a1a1a1a1a1a5, c2a2, c2a3, d1, d1a, d1b, d2, c~, I2a1a1a1a1a1a5e, I2a1a1a1a1a1a5e2, 3~, 3a, 3a1, 3a2, 3b, 4, 4a, 4b, 4b2, 5, 5b1, 5b1a, 5b1a1, 2a1a1a1a1a1a5f, 1c, 1d, 1e, 1e1, 1e1a, 1e2, 1f, a1a~, 3b1, a2~
S23937												I2a2a1b1b1b2~
S23981										C1a2a	C1a2a	C1a2a
S23992											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S23993										G2a2a1	G2a2a1	G2a2a1
S24	I1b2a	I1b2a										
S240								I1a1b3a	I1a1b3a	I1a1b3a	I1a1b3a	
S24004												I2a2b
S24009											E1b1b1a1b1a6a~	E1b1b1a1b1a6a~
S24013											R1b1a1a2a1a1c2a1b	R1b1a1a2a1a1c2a1b
S24016												I2a1a2a~
S24051											E1b1b1b2a1a1a~	E1b1b1b2a1a1a~
S24099											R1b1a1a2a1a1e1a	R1b1a1a2a1a1e1a
S24099.2												O2a2b1a1a1a2a
S241							I1a2d		I1a1b4	I1a1b4	I1a1b4	I1a1b1c1a1
S2412												I2a2a1b2a~
S24121									I2a2b2a	I2a2b2a	I2a2b2a	
S24122											N [K2a1], N	N [K2a1], N
S24151												I2a2a1b2b~
S2425												I2a2a1b2a~
S243							I1a4	I1a3	I1a3	I1a3	I1a3	I1a3
S2434												I2a2a1b2a1b1a1a1a1c3~
S24351											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S24367										G2a2b1	G2a2b1	G2a2b1
S24397												I1a1a1b3~
S244							I1a3	I1a2	I1a2	I1a2	I1a2	I1a2
S24408											R1b1a1a2a1a1c2a1b	R1b1a1a2a1a1c2a1b
S24409											E1b1b1b~	E1b1b1b~
S2441												I2a2a~
S24411											R1b1a1a2a1a1c2b2a1b1a5	R1b1a1a2a1a1c2b2a1b1a5
S24427												I2a1b2a
S24429											N [K2a1], N	N [K2a1], N
S24436												I2a2
S2445												I2a2a1b2a~
S24473											E1b1b1b1a1e1c~	E1b1b1b1a1e1c~
S245											R1b1a1a2a1a2c~	R1b1a1a2a1a2c
S2450												I2a2a~
S2452												I2a2a1b2a~
S2456												I2a2a1b2a~
S2458												I2a2a1b2a1~
S246							I1a3a	I1a2a	I1a2a	I1a2a	I1a2a	I1a2a
S24601										G2a2b2a1a1a2	G2a2b2a1a1a2	G2a2b2a1a1a2
S24607												I2a2a2~
S24620												J1a2a~
S24635											N1c1a1a1	
S24647												I2a2b1b1a1
S24649												I2c1b2~
S2465												I2a2a1b2a1b1a1a1
S24652										G2a2b2a1a1b1b	~, G2a2b2a1a1b1a1a8, G2a2b2a1a1b1a1b~, G2a2b2a1a1b1b	G2a2b2a1a1b1a2~, G2a2b2a1a1b1b
S247								I1a2a1b	I1a2a1b	I1a2a1b	I1a2a1b	
S2471												I2a2a1b~
S2472												I2a2a~
S24756												I2a2a1a2a2a~
S24765											R1b1a1a2a1a1c2b2a1b5a	R1b1a1a2a1a1c2b2a1b5a
S2478												I2a2a1b2a~
S24785												I2a2a2a1~
S2479												I2a2a~
S24798											N1c	N1~, N1a
S24842												I2c
S24848										G2a2b1	G2a2b1	G2a2b1
S24866												I2a2a2~
S2488										I2a2b2b	I2a2b2b1	I2a2b1b3
S24894												I2a1a2a~
S249								I1b	I1b	I1b	I1b	I1b
S2490												I2a2b
S24902									R1a1a1b1a2c	R1a1a1b1a2c	R1a1a1b1a2c	R1a1a1b1a2c
S24911												I1a1b1a1d3a~
S24912											G2a2a1a2a1b2c1~	G2a2a1a2a1b2c1~
S2492												I2a2b1
S24924											R1b1a1a2a1a1c2b1b1	R1b1a1a2a1a1c2b1b1
S2496												I2a2b1
S2497												I2a2b1
S2498												I2a2b1
S24981											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S25		P										
S250							R1b1a2a1a1b1		R1b1a2a1a2a	R1b1a2a1a2a	R1b1a1a2a1a2a	R1b1a1a2a1a2a
S25007											R1b1a1a2a1a1e2a	R1b1a1a2a1a1e2a
S2501												I2a2b
S25020											G2a2b1b1	G2a2b1b1
S2504												I2a2b
S2507												I2a2b1
S25077											R1b1a1a2a1a1c2b1a1b1	R1b1a1a2a1a1c2b1a1b1
S2508												I2a2b1
S25082										G2a2a1a2a1	G2a2a1a2a1	G2a2a1a2a1
S25084												I2a2a1a2a2a~
S25095												I2a2a1b1a~
S251											R1b1a1a2a1a2a1b1a1a~	R1b1a1a2a1a2a1b1a1a~
S2510												I2a2b1
S25116											R1b1a1a2a1a1c2b2a1b3	R1b1a1a2a1a1c2b2a1b3
S2514												I2a2b1
S25150												I1a2a1a1d1b2
S25156											R1b1a1a2a1a1c2b2a1b2	R1b1a1a2a1a1c2b2a1b2
S25186											R1b1a1a2a1a1e1a	R1b1a1a2a1a1e1a
S2519												I2a2b1
S25190											R1b1a1a2a1a1e1	R1b1a1a2a1a1e1
S2520												I2a2b1
S25201											R1b1a1a2a1a2c1d3~	
S2521												I2a2b1
S25218												I2a2a1b1~
S2523												I2a2b1
S25232											R1b1a1a2a1a1c2b2a1b2	R1b1a1a2a1a1c2b2a1b2
S25233												I2c1a1~
S25234										R1b1a2a1a1c1a2b1	R1b1a1a2a1a1c1a2b1	R1b1a1a2a1a1c1a2b1
S2524												I2a2b1
S25248												I2a2a1b2a1a~
S2525												I2a2b
S2526												I2a2b1
S25260												I2a2a1b1b1b2~
S25281										G2a2b1		
S253									R1b1a2a1a2c1g2a1	R1b1a2a1a2c1g2a1	R1b1a1a2a1a2c1e2a1	R1b1a1a2a1a2c1a5b1a1
S25313												J1a2a1a2d2b2b2c2a~
S2532												I2a2b1
S2533												I2a2b
S25337												I1a3f~
S25360												I2a2a1a2~
S25383										I2a2a1b2a2b	I2a2a1b2a2b	I2a2a1b2a1b2
S2540												I2a2b
S25416										R1b1a2a1a1h	R1b1a1a2a1a1h	R1b1a1a2a1a1h
S25451												I2a2a1b2a1b2c~
S2546												I2a2b
S25467											N [K2a1], N	N [K2a1], N
S25468										G2a2b2a1a1a2	G2a2b2a1a1a2	G2a2b2a1a1a2
S25473												I2a2a1b1a~
S255							R1b1a2a1a1b2a1	R1b1a2a1a2b1a	R1b1a2a1a2b1a	R1b1a2a1a2b1a	R1b1a1a2a1a2b1a	R1b1a1a2a1a2b1a
S2550												I2a2b1
S25516										G2a2b1a	G2a2b1a	G2a2b1a
S2552												I2a2b1
S2554												I2a2b1
S25542											R1b1a1a2a1a1c2b1b1	R1b1a1a2a1a1c2b1b1
S2555												I2a2b
S2556												I2a2b1
S25566										G2a2b1	G2a2b1	G2a2b1
S2557												I2a2b1
S25571												I2a2b1b3b1
S2558												I2a2b
S256											R1b1a1a2a1a2b1a1~	R1b1a1a2a1a2b1a1~
S2560												I2a2b1
S2561												I2a2b1
S25619											N1~	N1
S2563												I2a2b
S25633												I1a1b1a1~
S25668										G2a2b1a	G2a2b1a	G2a2b1a
S2568												I2a2b
S257										R1b1a2a1a2b1c1b	R1b1a1a2a1a2b1c1b	R1b1a1a2a1a2b1c1b
S25729											NO1 [K2a]	NO1 [K2a]
S25733									I2a2a1b1a1	I2a2a1b1a1	I2a2a1b1a1	I2a2a1b1a1, I2a2a1b1a1a~
S25738											R1b1a1a2a1a1c2b2a1b5a2	R1b1a1a2a1a1c2b2a1b5a2
S2574											E1b1b1b1a1e1b1~	E1b1b1b1a1e1b1~
S2577												I2a2b
S25777												I2a2a1b1a~
S25821											G2a2b1	G2a2b1
S25824											NO1 [K2a]	NO1 [K2a]
S25832											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S25867												I2a1b2
S2589												I2a2b
S259											R1b1a1a2a1a2b4~	R1b1a1a2a1a2b4~
S2592												I2a2b1
S25928											R1b1a1a2a1a2c1d3~	
S25930											E1b1b1b~	E1b1b1b~
S2599												I2a2b
S26		R1b1c9a	R1b1b2a1a3						R1b1a2a1a1c1a2a	R1b1a2a1a1c1a2a	R1b1a1a2a1a1c1a2a	R1b1a1a2a1a1c1a2a
S26003										G2a2b2a1a1b	G2a2b2a1a1b	G2a2b2a1a1b
S26015											E1b1b1a1b1a6a~	E1b1b1a1b1a6a~
S2603												I2a2b1
S2604												I2a2b1
S2606									I2a2b2	I2a2b2	I2a2b2	I2a2b1b
S26062												I1a2a1a2~
S26063											R1b1a1a2a1a1c2b2a1b6	R1b1a1a2a1a1c2b2a1b6
S26067												I2a2b
S26070										G2a2b2a1a1a2a	G2a2b2a1a1a2a	G2a2b2a1a1a2a
S261										R1b1a2a1a1b	R1b1a1a2a1a1b	R1b1a1a2a1a1b
S26115											R1b1a1a2a1a1g1	R1b1a1a2a1a1g1
S26140										R1b1a2a1a1h	R1b1a1a2a1a1h	R1b1a1a2a1a1h
S26147												I2a1b2
S26149												N [K2a1]~, N~
S26149^											N [K2a1], N	
S26157												I2a1a2a1~
S26159												I2a2a1a2~
S26162												I1a2b1c1~
S26167												I2a2a2~
S26174											E1b1b1b2a1a1~	E1b1b1b2a1a1~
S2619												I2a1b
S262										R1b1a2a1a1b		
S2620												I2a1b
S2621									I2a1b			I2a1b~
S2622												I2a1b
S2626												I2a1
S26266									I1a3a1a1b	I1a3a1a1b	I1a3a1a1b	
S2627												I2a1b1a1a1
S263							R1b1a2a1a1a3	R1b1a2a1a1c	R1b1a2a1a1c	R1b1a2a1a1c	R1b1a1a2a1a1c	R1b1a1a2a1a1c
S2632									I2a1b			
S2633												I2a1b
S2634												I2a1b1
S2637												I2a1
S26379											R1b1a1a2a1a1c2b2a1b1a3a1	R1b1a1a2a1a1c2b2a1b1a3a1
S2638									I2a1b			
S2639												I2a1b1a
S264							R1b1a2a1a1a3a	R1b1a2a1a1c1	R1b1a2a1a1c1	R1b1a2a1a1c1	R1b1a1a2a1a1c1	R1b1a1a2a1a1c1
S2643												I2a1b1a1
S2644												I2a1b~
S2645												I2a1b1
S2646												I2a1b
S2648												I2a1
S26486												I2a1b2
S26491										I2c1a1	I2c1a1	I2c1a1
S265									R1b1a2a1a1c1a	R1b1a2a1a1c1a	R1b1a1a2a1a1c1a	R1b1a1a2a1a1c1a
S2654												I2a1b~
S2657												I2a1b~
S2659												I2a1b, I2a1b
S2660												I2a1b1
S2661												I2a1b1
S2662												I2a1b1
S2663												I2a1b
S2666												I2a1b~
S2669												I2a1
S267											R1b1a1a2a1a1c2b1b	R1b1a1a2a1a1c2b1b
S2672												I2a1
S2673												I2a1b1
S2675												I2a1b1
S2679									I2a1b			
S268							R1b1a2a1a1a3b2b	R1b1a2a1a1c2b2	R1b1a2a1a1c2b2	R1b1a2a1a1c2b2	R1b1a1a2a1a1c2b2	R1b1a1a2a1a1c2b2
S2680												I2a1b1
S2684												I2a1b1
S2687									I2a1b			I2a1b~
S2688												I2a1b~
S269											R1b1a1a2a1a1c2b2b1a~	R1b1a1a2a1a1c2b2b1a~
S2691												I2a1b
S2699												I2a1a1a1b1b1a1~
S2701												I2a1b1
S2702									I2a1b			I2a1b~
S2703										I2a1b1a1	I2a1b1a1	
S2704												I2a1b1
S271								R1b1a2a1a1c2b2a	R1b1a2a1a1c2b2a	R1b1a2a1a1c2b2a	R1b1a1a2a1a1c2b2a	R1b1a1a2a1a1c2b2a
S27129										O1a1a		
S2715									I2a1b			I2a1b~
S27195											G2a2b1a1a1b~	G2a2b1a1a1a2~
S272							R1b1a2a1a1a3b2b1a	R1b1a2a1a1c2b2a1a	R1b1a2a1a1c2b2a1a	R1b1a2a1a1c2b2a1a	R1b1a1a2a1a1c2b2a1b1	R1b1a1a2a1a1c2b2a1b1
S2722									I2a1b			
S2727												I2a1b1
S274							R1b1a2a1a1a3b2b1a1a	R1b1a2a1a1c2b2a1a1a	R1b1a2a1a1c2b2a1a1a	R1b1a2a1a1c2b2a1a1a	R1b1a1a2a1a1c2b2a1b1a1	R1b1a1a2a1a1c2b2a1b1a1
S2742												I2a1b1a1a1
S27458											R1b1a1a2a1a1c2b2a1b1b1a4b	R1b1a1a2a1a1c2b2a1b1b1a4b
S2748												I2a1b~
S2749												I2a1b
S275								R1b1a2a1a1c2b2a1a1b	R1b1a2a1a1c2b2a1a1b	R1b1a2a1a1c2b2a1a1b	R1b1a1a2a1a1c2b2a1b1a4	R1b1a1a2a1a1c2b2a1b1a4
S2750												I2a1b
S2757												I2a1b1
S276							R1b1a2a1a1a3b2b1a1b1	R1b1a2a1a1c2b2a1a1b1a	R1b1a2a1a1c2b2a1a1b1a	R1b1a2a1a1c2b2a1a1b1a	R1b1a1a2a1a1c2b2a1b1a4a1	R1b1a1a2a1a1c2b2a1b1a4a1
S27659									O	O [K2a2], O	O [K2a2], O	O [K2a2], O
S2768									I2a1b			
S2769											G2a2b2a1a1a1a~	J1a2a1a2d2b~
S27697												I2a2b1a2
S2770												I2a1b
S27742												N1a2a1b~
S27745											E1b1a1, E1b1a1~	E1b1a1, E1b1a1~
S27749											E1b1a1a1	E1b1a1a1
S27751											E1b1a1, E1b1a1~	E1b1a1, E1b1a1~
S27753											E1b1a1, E1b1a1~	E1b1a1, E1b1a1~
S27755											E1b1a1a1	E1b1a1a1
S27762											E1b1a1, E1b1a1~	E1b1a1, E1b1a1~
S27799											E1b1a1, E1b1a1~	E1b1a1, E1b1a1~
S278.2							R1a1a1b2a1					
S27802											E1b1a1, E1b1a1~	E1b1a1, E1b1a1~
S27834											R1b1a1a2a1a2c1a6~	R1b1a1a2a1a2c1a1f~
S27835											R1b1a1a2a1a2c1a6~	R1b1a1a2a1a2c1a1f~
S27836												I1a2b3a1b1~
S2784											G2a2b2a1a1b1a1a2a1d1, G2a2b2a1a1b1a1a2a1d1a	G2a2b2a1a1b1a1a2a1b1a, G2a2b2a1a1b1a1a2a1b1a1
S2786												G2a2b2a1a1b1a1a2a1b1a
S2788											G2a2b2a1a1b1a1a2a1d1a2~	G2a2b2a1a1b1a1a2a1b1a1b
S279									R1b1a2a1a2c1b	R1b1a2a1a2c1b	R1b1a1a2a1a2c1b	
S2795											G2a2b2a1a1b1a1a2a1d1	G2a2b2a1a1b1a1a2a1b1a
S2796											G2a2b2a1a1b1a1a2a1d1	G2a2b2a1a1b1a1a2a1b1a
S2798											G2a2b2a1a1b1a1a2a1d1	G2a2b2a1a1b1a1a2a1b1a
S28		R1b1c10	R1b1b2a1b4	R1b1b2a1a2d	R1b1b2a1a2d		R1b1a2a1a1b2		R1b1a2a1a2b	R1b1a2a1a2b	R1b1a1a2a1a2b	R1b1a1a2a1a2b
S28 (U152)	R1b1c10											
S280							R1b1a2a1a1b3a7b	R1b1a2a1a2c1g2	R1b1a2a1a2c1g2a	R1b1a2a1a2c1g2a	R1b1a1a2a1a2c1e2a	R1b1a1a2a1a2c1a5b1a
S2808									G2a2b2a1b1a2a1	G2a2b2a1a1b1a2a1	G2a2b2a1a1b1a1a2a1	
S281								R1b1a2a1a2c1g2a1	R1b1a2a1a2c1g2a1a	R1b1a2a1a2c1g2a1a	R1b1a1a2a1a2c1e2a1a	R1b1a1a2a1a2c1a5b1a1a
S284							G					
S285							G2a1b2		G2a2a1b	G2a2a1a2	G2a2a1a1b4~, G2a2a1a2	G2a2a1a1b3~, G2a2a1a2
S286							J2a1h					J2a1h
S287							J2a1h2a1					J2a1h2a1
S289								Q1b1	Q1b1	Q1b1	Q1b1	2b, Q1b2b1b, Q2a1
S29		R1b1c9b							R1b1a2a1a1c2a	R1b1a2a1a1c2a1	R1b1a1a2a1a1c2a1	R1b1a1a2a1a1c2a1
S29 (U198)	R1b1c9b											
S2907											E1b1b1a1b1a12~	E1b1b1a1b1a12~
S2910											E1b1b1a1b1a12~	E1b1b1a1b1a12~
S2914											E1b1b1a1b1a12~	E1b1b1a1b1a12~
S2916											E1b1b1a1b1a12~	E1b1b1a1b1a12~
S292							I2c		I2c	I2c	I2c	I2c
S2923											E1b1b1a1b1a12~	E1b1b1a1b1a12~
S2932											E1b1b1a1b1a13~	E1b1b1a1b1a13~
S294											I2a1a1a1a1b1~	
S29430												J1a2a1a2d2b2b2c2a~
S295								I2a2b1	I2a2b1	I2a2b1	I2a2b1	I2a2b1a1
S296							I1a3b	I1a2b	I1a2b	I1a2b	I1a2b	I1a2b
S296.2												I2c2a1a1a2
S297											I1a1b5~	
S2972											E1b1b1a1b1a10a1a	E1b1b1a1b1a10a1a
S2978											E1b1b1a1b1a10a1a3a~	E1b1b1a1b1a10a1a3a~
S2979											E1b1b1a1b1a10	E1b1b1a1b1a10
S298							R1a1a1a		R1a1a1a	R1a1a1a	R1a1a1a	R1a1a1a
S299							R1b1a2a1a1b3a7c		R1b1a2a1a2c1g3a1	R1b1a2a1a2c1g3a1	R1b1a1a2a1a2c1e3a1	R1b1a1a2a1a2c1a5c1a
S2999											E1b1b1a1b1a5~	E1b1b1a1b1a5~
S3	R1b1c	R1b1c	R1b1b2	R1b1b2	R1b1b2		R1b1a2					R1b1a1a2
S30	I1b2	I1b2										
S300							R1b1a2a1a1b3a8		R1b1a2a1a2c1h	R1b1a2a1a2c1h	R1b1a1a2a1a2c1a3	R1b1a1a2a1a2c1a1c
S3003											E1b1b1a1b1a5~	E1b1b1a1b1a5~
S301									R1b1a2a1a2c1g1b1a	R1b1a2a1a2c1g1b1a	R1b1a1a2a1a2c1e1b1a	R1b1a1a2a1a2c1a5a2a1a1
S3015											E1b1b1a1b1a5~	E1b1b1a1b1a5~
S302											R1b1a1a2a1a2c1e1b1a1a~	R1b1a1a2a1a2c1a5a2a1a1a1~
S3025									R1b1a2a1a2c1g1b1	R1b1a2a1a2c1g1b1	R1b1a1a2a1a2c1e1b1	R1b1a1a2a1a2c1a5a2a1a
S3026									R1b1a2a1a2c1g1b1			
S3027									R1b1a2a1a2c1g1b1a			
S3028									R1b1a2a1a2c1g1b1a	R1b1a2a1a2c1g1b1a		
S3028^^											R1b1a1a2a1a2c1e1b1a	R1b1a1a2a1a2c1a5a2a1a1
S3031									R1b1a2a1a2c1g1b1	R1b1a2a1a2c1g1b1	R1b1a1a2a1a2c1e1b1	R1b1a1a2a1a2c1a5a2a1a
S3033									R1b1a2a1a2c1g1b1a1	R1b1a2a1a2c1g1b1a1	R1b1a1a2a1a2c1e1b1a1	R1b1a1a2a1a2c1a5a2a1a1a
S3034									R1b1a2a1a2c1g1b1a		R1b1a1a2a1a2c1e1b1a	R1b1a1a2a1a2c1a5a2a1a1
S3034   (See Notes regarding S3028)										R1b1a2a1a2c1g1b1a		
S3057									R1b1a2a1a2c1g1b1	R1b1a2a1a2c1g1b1	R1b1a1a2a1a2c1e1b1	R1b1a1a2a1a2c1a5a2a1a
S3058									R1b1a2a1a2c1g1b	R1b1a2a1a2c1g1b	R1b1a1a2a1a2c1e1b	R1b1a1a2a1a2c1a5a2a
S307									R1b1a2a1a2c1g1b1a			
S308							R1b1a2a1a1b3a7d1	R1b1a2a1a2c1g4a	R1b1a2a1a2c1g1b1a	R1b1a2a1a2c1g1b1a	R1b1a1a2a1a2c1e1b1a	R1b1a1a2a1a2c1a5a2a1a1
S309							R1b1a2a1a1b3a7d1	R1b1a2a1a2c1g4a	R1b1a2a1a2c1g1b1a	R1b1a2a1a2c1g1b1a	R1b1a1a2a1a2c1e1b1a	R1b1a1a2a1a2c1a5a2a1a1
S31	I1b	I1b							I2	I2	I2	I2
S310							R1b1a2a1a1b3a9a					
S3106											R1b1a1a2a1a2c1e1b1~	R1b1a1a2a1a2c1a5a2a1~
S312.1									R2a1a	R2a1a	R2a2b1b2b3b2	R2a2b1b2b3b2
S312.2									R1b1a2a1a2c1g1a1	R1b1a2a1a2c1g1a1	R1b1a1a2a1a2c1e1a1	R1b1a1a2a1a2c1a5a1a1
S315							G2b					G2b1
S316							G2a1c2a1		G2a2b2a1	G2a2b2a1	G2a2b2a1	G2a2b2a1
S317							G2a1c2a1b		G2a2b2a1b	G2a2b2a1a1b	G2a2b2a1a1b	G2a2b2a1a1b
S3184											C2	C2
S3186											C2c1	C2c1
S3199										R1b1a2a1a1c2b2b1a1a1e2	R1b1a1a2a1a1c2b2b1a1a1e2	R1b1a1a2a1a1c2b2b1a1a1e2
S32	I1b2	I1b2										
S320									J2a1h2a1			
S321							J2					
S322							M				M1~	M1~
S323							N				N [K2a1], N, N1~	N [K2a1]~, N~, N1~
S3234												J2
S324							Q1a3		Q1a2	Q1a2	Q1a2	Q1b
S325							Q1b1					2b, Q1b2b1b, Q2a
S3251.2											R1b1a1a2a1a1c2b1b4	R1b1a1a2a1a1c2b1b4
S326							Q1a3a		Q1a2a	Q1a2a	Q1a2a	Q1b1
S3262											R1b1a1a2a1a1c2b2a1b1a4a1a1	R1b1a1a2a1a1c2b2a1b1a4a1a1
S327									I2a1a1a	I2a1a1a	I2a1a1a	
S328							I2a1b					
S328.1												I2a1b~
S329							I2					
S33	I1b2	I1b2							I2a2	I2a2	I2a2	I2a2
S332									I2b		I2b~	I2b~
S3328.2											C1b1a2a	C1b1a2a
S333							I2c					
S3330										I2c	I2c	I2c
S3334									R1b1a2a1a1c2b2a1a1b2a1a	R1b1a2a1a1c2b2a1a1b2a1a	R1b1a1a2a1a1c2b2a1b1a4b1a1a	R1b1a1a2a1a1c2b2a1b1a4b1a1a
S334.1									R1b1a2a2b	R1b1a2a2b	R1b1a1a2a2b	R1b1a1a2a2b
S335							I1a2c1		I1a1b3a1	I1a1b3a1	I1a1b3a1	I1a1b1a4a1a
S336											I1a1b~	I1a1b1a4a~
S3361									R1a1a1b1a2b3	R1a1a1b1a2b3	R1a1a1b1a2b3	R1a1a1b1a2b3
S337							I1a3a1	I1a2a1	I1a2a1	I1a2a1	I1a2a1	I1a2a1a1~
S338									I1a2b			
S339							R1a1a1b1		R1a1a1b1	R1a1a1b1	R1a1a1b1	R1a1a1b1
S34	J	J	J	J	J		J	J				
S340									R1a1a1b2a	R1a1a1b2a	R1a1a1b2a	R1a1a1b2a
S3403									R1a1a1b2a2b1a	R1a1a1b2a2b1a	R1a1a1b2a2b1a	R1a1a1b2a2b1a
S342							R1a1a1b1a3b1	R1a1a1b1a3b1a	R1a1a1b1a3b1a	R1a1a1b1a3b1a	R1a1a1b1a3b1a	R1a1a1b1a3b1a
S3421											D1b1a2~	D1b1a2~
S344							R1a1a1b1a2d	R1a1a1b1a2a	R1a1a1b1a2a	R1a1a1b1a2a	R1a1a1b1a2a	R1a1a1b1a2a
S3443									R1a1a1b1a3a1c	R1a1a1b1a3a1c	R1a1a1b1a3a1c	R1a1a1b1a3a1c
S345							R1a1a1b1a3b	R1a1a1b1a3b	R1a1a1b1a3b	R1a1a1b1a3b	R1a1a1b1a3b	R1a1a1b1a3b
S3455									R1a1a1b1a3a1c			
S347							R1a1a1b2a1a		R1a1a1b2a1	R1a1a1b2a1		
S347.1											R1a1a1b2a1	R1a1a1b2a1
S347.2											R1b1a1a2a1a1c2b2a1b3	R1b1a1a2a1a1c2b2a1b3
S348							R1b1a2a1a1b1a1a1	R1b1a2a1a2a1a1a	R1b1a2a1a2a1a1a1a	R1b1a2a1a2a1a1a1a	R1b1a1a2a1a2a1a1a1a	R1b1a1a2a1a2a1a1a1a
S349							R1b1a2a					
S35	J	J	J	J	J		J	J				
S350.1									E1b1a			
S350.2									J1a2b2a			J1a2a1a2d2b2b2c4d2a2a6
S351.1									R1b1a2		R1b1a1a2	R1b1a1a2
S3511												R1b1a1a1
S3512											R1b1a1a2a1a1c2b2a1b1a2	R1b1a1a2a1a1c2b2a1b1a2
S352							R1b1a2a1a1a3b2a1			R1b1a2a1a1c2b1a1	R1b1a1a2a1a1c2b1a1	R1b1a1a2a1a1c2b1a1
